,prop,subevent,role,causation,syntax,lr,batch_size,epoch,finished,exp,mean_rank,mrr,hit@1,hit@3,hit@10
20,0,0,0,0,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,178.2864,0.1044,0.0,0.1505,0.2524
21,0,0,0,1,simple_rdf_sp,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_sp_lr1e-05_bs1024_ep1,861.262,0.0261,0.0,0.0292,0.0741
22,0,1,0,0,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_0_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,66.2515,0.3993,0.2902,0.4539,0.6176
23,0,0,0,1,simple_rdf_prop,1e-05,256,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs256_ep10,42.1891,0.4601,0.3462,0.5242,0.6747
24,0,1,0,1,simple_rdf_prop,5e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_prop_lr5e-05_bs512_ep1,185.8625,0.3282,0.2199,0.3799,0.5367
25,0,1,0,1,simple_rdf_reification,1e-05,512,1,True,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep1,853.6588,0.2207,0.1865,0.2301,0.2773
26,1,0,0,1,simple_rdf_prop,3e-05,512,1,True,kg_base_prop_1_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr3e-05_bs512_ep1,264.2144,0.2161,0.121,0.2401,0.4223
27,0,0,0,0,simple_rdf_prop,1e-05,512,10,True,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr1e-05_bs512_ep10,39.8932,0.4321,0.3398,0.4708,0.6504
28,0,0,0,1,simple_rdf_reification,1e-05,512,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_reification_lr1e-05_bs512_ep10,160.1091,0.3145,0.2615,0.3427,0.4055
29,0,0,0,1,simple_rdf_prop,1e-05,512,10,True,kg_base_prop_0_subevent_0_role_0_causation_1_syntax_simple_rdf_prop_lr1e-05_bs512_ep10,59.0483,0.396,0.2813,0.4538,0.6022
30,0,0,0,0,simple_rdf_prop,1e-05,1024,1,True,kg_base_prop_0_subevent_0_role_0_causation_0_syntax_simple_rdf_prop_lr1e-05_bs1024_ep1,342.6214,0.026,0.0,0.0194,0.0631
